Province/Territory,Building
Alberta,Biological Sciences Building
Alberta,Douglas Jung Building
Alberta,Eastgate Building
Alberta,Harry Hays Building
Alberta,Meanook National Wildlife Area
Alberta,Michael J. Greenwood Centre
Alberta,Northern Forestry Centre
Alberta,Peace River
Alberta,Springfield Building
Alberta,Stony Plain - Upper Air Station
British Columbia,Canadian Forces Base (CFB) Esquimalt
British Columbia,Cranbrook - Enforcement
British Columbia,Cranbrook - Water Survey
British Columbia,Institute of Ocean Sciences (IOS)
British Columbia,Kelowna National Service Office
British Columbia,Monitoring Operations Center (MOC)
British Columbia,Nanaimo (CWS)
British Columbia,Nanaimo - Enforcement
British Columbia,Nanaimo - Water Survey
British Columbia,Pacific Environmental Science Centre (PESC)
British Columbia,Pacific Wildlife Research Centre (PWRC)
British Columbia,Port Hardy Upper Air Station
British Columbia,Prince George
British Columbia,Saanichton EMBC
British Columbia,Smithers - Enforcement
British Columbia,Terrace - Water Survey
British Columbia,UVIC - Cdn Center for Climate Modelling - Bob Wright Center
British Columbia,UVIC - Water Climate Inpact Research Center - David Turpin Bldg
British Columbia,Vernon Water Survey Office
Manitoba,Airport Place
Manitoba,Canadian Forces Base (CFB) Winnipeg
Manitoba,Churchill Upper Air Station
Manitoba,The Pas Upper Air Station
Manitoba,Thompson
Manitoba,VIA Rail Station
New Brunswick,33 Weldon St.
New Brunswick,Canadian Forces Base (CFB) Gagetown Joint Meteorological Centre
New Brunswick,Environmental Science Centre (ESC)
New Brunswick,Frederick Square
New Brunswick,Potato Research Centre
New Brunswick,Sackville - CWS Regional Office
New Brunswick,University of New Brunswick - Loring Bailey Hall
Newfoundland and Labrador,Cartwright
Newfoundland and Labrador,Fortis Towers
Newfoundland and Labrador,Gander International Airport
Newfoundland and Labrador,Government of Canada Building
Newfoundland and Labrador,Happy Valley - Goose Bay
Newfoundland and Labrador,Happy Valley / Goose Bay - Upper Air Station
Newfoundland and Labrador,Stephenville Upper Air Station
Northwest Territories,Fort Simpson - Water Survey Office
Northwest Territories,Fort Smith Upper Air Station
Northwest Territories,Inuvik Upper Air Station
Northwest Territories,Inuvik - Water Survey Building
Northwest Territories,Norman Wells Upper Air Station
Northwest Territories,Nova Plaza
Nova Scotia,Bedford Institute Oceanography (BIO)
Nova Scotia,Bedford Trade Mart
Nova Scotia,Canadian Forces Base (CFB) Greenwood
Nova Scotia,Dayton Mall
Nova Scotia,DND-MetOc Halifax
Nova Scotia,Halifax - 1801 Hollis St.
Nova Scotia,Queen Square
Nunavut,Alert Weather Station (Upper Air Station)
Nunavut,Baker Lake Upper Air Station
Nunavut,Canadian Arctic Marine Wildlife Research Centre
Nunavut,Cambridge Bay Upper Air Station
Nunavut,Coral Harbour Upper Air Station
Nunavut,Eureka
Nunavut,Iqaluit
Nunavut,Iqaluit Upper Air Station
Nunavut,Neil Trivet Global Atmospheric Watch (GAW) Lab
Nunavut,Qilaut Building
Nunavut,Resolute Bay Upper Air Station
Ontario,335 River Rd.
Ontario,Big Creek National Wildlife
Ontario,Canada Centre for Inland Waters (CCIW)
Ontario,Canadian Forces Base (CFB) Trenton
Ontario,Centre for Atmospheric Research Experiments (CARE)
Ontario,Constitution Square
Ontario,Downsview - Environment Canada Building
Ontario,Downsview - Thompson Lab Annex
Ontario,Environment Canada Building
Ontario,Government of Canada Building
Ontario,King City - Radar Station
Ontario,LaSalle Academy
Ontario,National Wildlife Research Center (NWRC)
Ontario,North Bay
Ontario,Sir Leonard Tilley Building
Ontario,Sir Lionel Chevrier Building
Ontario,St. Clair National Wildlife Area
Ontario,Wilfrid Laurier University
Prince Edward Island,Jean Canfield Building
Quebec,de Varennes
Quebec,Fontaine Building
Quebec,Place Vincent Massey Annex (PVMA)
Quebec,Place Vincent Massey (PVM)
Saskatchewan,Alvin Hamilton Building
Saskatchewan,Last Mountain Lake National Wildlife Area
Saskatchewan,National Hydrology Research Centre (NHRC)
Saskatchewan,Prairie and Northern Wildlife Research Centre (PNWRC)
Yukon,Combined Services Bldg
Yukon,Yukon Weather Centre
